solvent_pairs,ratios,percents,context
mL/min,,,"100 μL was injected. HPLC grade THF was used as mobile phase with a flow rate of 0.8 mL/min. WET solvent suppression was applied to THF. ' RESULTS AND DISCUSSION LCCC-NMR of Blends of Polyisoprene. For the separation of polyisoprene according to the microstructure by LCCC critical conditions of one species of polyisoprene, i.e., 1,2-, 1,4-, or 3,4-PI, have to be established."
,,,"' RESULTS AND DISCUSSION LCCC-NMR of Blends of Polyisoprene. For the separation of polyisoprene according to the microstructure by LCCC critical conditions of one species of polyisoprene, i.e., 1,2-, 1,4-, or 3,4-PI, have to be established. As is known, critical conditions depend on the different polarities of the sample, the stationary phase, and the mobile phase. In the case of different microstructures the polarities of the different microstructural units are very similar. Therefore, to find a suitable separation procedure is more challenging."
butanone/cyclohexane,92/8,,"It can be assumed, however, that the elution behavior of the samples is mainly driven by the 1,4-isoprene units. For establishing near-LCCC conditions a nonpolar stationary phase RP-18 was selected. It can be seen that indeed near-critical conditions can be achieved by using butanone/cyclohexane mixtures as the mobile phase. If the composition of the two solvents is 92/8 vol%, these conditions are obtained for a temperature of 29 °C. In this case all 1,4-PI samples elute at the same retention volume irrespective of their molar masses."
butanone/cyclohexane,92/8,,"For establishing near-LCCC conditions a nonpolar stationary phase RP-18 was selected. It can be seen that indeed near-critical conditions can be achieved by using butanone/cyclohexane mixtures as the mobile phase. If the composition of the two solvents is 92/8 vol%, these conditions are obtained for a temperature of 29 °C. In this case all 1,4-PI samples elute at the same retention volume irrespective of their molar masses. If the mobile phase contains more cyclohexane (>8 vol%), the molar mass dependence corresponds to show size exclusion chromatography (SEC) behavior."
,92/8,,"If the composition of the two solvents is 92/8 vol%, these conditions are obtained for a temperature of 29 °C. In this case all 1,4-PI samples elute at the same retention volume irrespective of their molar masses. If the mobile phase contains more cyclohexane (>8 vol%), the molar mass dependence corresponds to show size exclusion chromatography (SEC) behavior. If the mobile phase contains less cyclohexane (<8 vol%), the 1,4-PI samples are eluted in the liquid adsorption chromatography (LAC) mode. It is important to note that the near-critical conditions of the 1,4-PI 28 for the separation of blends of PI and polystyrene as well as polybutadiene."
,,,"In this case all 1,4-PI samples elute at the same retention volume irrespective of their molar masses. If the mobile phase contains more cyclohexane (>8 vol%), the molar mass dependence corresponds to show size exclusion chromatography (SEC) behavior. If the mobile phase contains less cyclohexane (<8 vol%), the 1,4-PI samples are eluted in the liquid adsorption chromatography (LAC) mode. It is important to note that the near-critical conditions of the 1,4-PI 28 for the separation of blends of PI and polystyrene as well as polybutadiene. To evaluate the separation capabilities of the present LCCC mode, samples of different molar masses containing predominantly 3,4-isoprene units (see Table 1 ) are investigated under the same conditions."
"mg/mL, mg/mL",,,"Three blends were prepared containing three different 3,4-PI polymers. In order to evaluate the accuracy of the critical conditions, we also conducted measurements at both LCCC conditions of 1,4-PI and SEC conditions of 3,4-PI at different injected sample concentrations. The concentrations were varied between 1 and 14 mg/mL. No differences were found for the elution times and for the calculated molar mass distributions at low and high concentrations. Therefore, a concentration of 5 mg/mL was used for the blends."
"mg/mL, mg/mL",,,"The concentrations were varied between 1 and 14 mg/mL. No differences were found for the elution times and for the calculated molar mass distributions at low and high concentrations. Therefore, a concentration of 5 mg/mL was used for the blends. The main problem for the characterization of these blends is the fact that common chromatographic detectors (RI, ELSD, UV) are unable to differentiate between 1,4-and 3,4-PI. Therefore, the online coupling of LCCC and NMR is preferred."
butanone/cyclohexane,92/8,,"Therefore, the online coupling of LCCC and NMR is preferred. In order to ensure quantitative data, we have also used the method of relaxation corrected intensities as was proposed by Hiller et al. 29 For this purpose, 20 mg of polyisoprene dissolved in 100 mL of butanone/cyclohexane (92/8 vol%) was pumped through a closed system consisting of pump and flow probe. This setup allowed for the precise measurement of the NMR intensities of all olefinic species in dependence of flow rate and NMR recycle delay. The 3,4-protons are the fastest relaxing protons, and the 1,4-protons are the slowest."
"butanone/cyclohexane, mL/min","70:30, 92:8, 97:3",,"(c) The elution peak of the 1,4-PI sample indicates simultaneous appearance of 1,4-isoprene relevant olefinic signals Figure 1. 1 Figure 1. Critical diagram of 1,4-PI showing molar mass versus retention time at a mobile phase composition of butanone/cyclohexane: 9, 70:30; b, 92:8; 2, 97:3. Stationary phase: three RP columns of C18 (100-5, 300-5, 1000-7); detector: NMR, flow rate 0.5 mL/min ; SEC = size exclusion chromatography, LCCC = liquid chromatography at critical conditions, LAC = liquid adsorption chromatography. 2 Figure 2."
"butanone/cyclohexane, mL/min, mL/min","70:30, 92:8, 97:3",,"1 Figure 1. Critical diagram of 1,4-PI showing molar mass versus retention time at a mobile phase composition of butanone/cyclohexane: 9, 70:30; b, 92:8; 2, 97:3. Stationary phase: three RP columns of C18 (100-5, 300-5, 1000-7); detector: NMR, flow rate 0.5 mL/min ; SEC = size exclusion chromatography, LCCC = liquid chromatography at critical conditions, LAC = liquid adsorption chromatography. 2 Figure 2. On-flow LCCC-NMR of blends of 1,4-PI (M n = 20.7 kg mol -1 ) and 3,4-PI: (a) M n = 9.1 kg mol -1 , (b) 33.0 kg mol -1 , and (c) 72.8 kg mol -1 measured at critical conditions of 1,4-PI (100 μL injection, flow rate 0.5 mL/min )."
"mL/min, mL/min",,,"Stationary phase: three RP columns of C18 (100-5, 300-5, 1000-7); detector: NMR, flow rate 0.5 mL/min ; SEC = size exclusion chromatography, LCCC = liquid chromatography at critical conditions, LAC = liquid adsorption chromatography. 2 Figure 2. On-flow LCCC-NMR of blends of 1,4-PI (M n = 20.7 kg mol -1 ) and 3,4-PI: (a) M n = 9.1 kg mol -1 , (b) 33.0 kg mol -1 , and (c) 72.8 kg mol -1 measured at critical conditions of 1,4-PI (100 μL injection, flow rate 0.5 mL/min ). The blue dotted lines represent the maximum of the elution of the 1,4-PI sample (containing also a small amount 3,4-PI), and the red dotted lines show the maximum of the elution of the 3,4-PI samples (containing also 1,2-PI and 1,4-PI). also shows the LCCC-NMR on-flow runs of the 1,4-PI and 3,4-PI samples separately."
"mL/min, mL/min, mL/min, mL/min",,,"also shows the LCCC-NMR on-flow runs of the 1,4-PI and 3,4-PI samples separately. 3 Figure 3. NMR intensities of the olefinic protons as a function of the recycle delay for 0.5 mL/min (solid lines) and 0 mL/min (dashed lines): (b, 2, 9) data points for 0.5 mL/min ; (O, 4, 0) data points for 0.0 mL/min. 4 Figure 4. Normalized NMR intensities and chemical composition distributions of 1,2-, 1,4-, and 3,4-isoprene units for the three blends consisting of 1,4-PI (M n = 20.7 kg mol -1 ) and 3,4-PI: (a) M n = 9.1 kg mol -1 , (b) 33.0 kg mol -1 , and (c) 72.8 kg mol -1 measured at critical conditions of 1,4-PI; blue solid line = NMR elution of 1,2-PI, red solid line = NMR elution of 1,4-PI, green solid line = NMR elution of 3,4-PI, [ = molar content of 1,2-isoprene units, 9 = molar content of 1,4isoprene units, and 2 = molar content of 3,4-isoprene units; dashed lines are calculated elution curves."
"mL/min, mL/min, mL/min, mL/min",,,"NMR intensities of the olefinic protons as a function of the recycle delay for 0.5 mL/min (solid lines) and 0 mL/min (dashed lines): (b, 2, 9) data points for 0.5 mL/min ; (O, 4, 0) data points for 0.0 mL/min. 4 Figure 4. Normalized NMR intensities and chemical composition distributions of 1,2-, 1,4-, and 3,4-isoprene units for the three blends consisting of 1,4-PI (M n = 20.7 kg mol -1 ) and 3,4-PI: (a) M n = 9.1 kg mol -1 , (b) 33.0 kg mol -1 , and (c) 72.8 kg mol -1 measured at critical conditions of 1,4-PI; blue solid line = NMR elution of 1,2-PI, red solid line = NMR elution of 1,4-PI, green solid line = NMR elution of 3,4-PI, [ = molar content of 1,2-isoprene units, 9 = molar content of 1,4isoprene units, and 2 = molar content of 3,4-isoprene units; dashed lines are calculated elution curves. Both 1,4and 3,4-PI samples can be sufficiently separated. The best separation is achieved for the third blend (Figure 4c)."
"mL/min, mg/mL",,,"Molar mass calibration obtained from LCCC-NMR of 3,4-PI samples at critical conditions of 1,4-PI (9 = data points; solid line = fitted to a polynomial of third order). 8 Figure 8. SEC-NMR chromatograms of sample 8 (M w = 33.9 kg mol -1 ) using THF with a flow rate of 0.8 mL/min , concentration 2.7 mg/mL , 100 μL injection, SDV columns 10 3 Å and 10 5 Å 8 Â 300 i.d., PSS GmbH, Mainz, Germany: black solid line = total NMR elution of the 3,4-PI sample, [ = molar content of 1,2-isoprene units, 9 = molar content of 1,4-isoprene units, and 2 = molar content of 3,4-isoprene units. 9 Figure 9. SEC-NMR calibration of 1,4-PI (9) and 3,4-PI (b) samples; solid lines = fitted to third-order polynomials."
"kg/mol, kg/mol, kg/mol, kg/mol, kg/mol, kg/mol, kg/mol, kg/mol, kg/mol",,,"1 Microstructures of 1,4-PI Samples and 3,4-PI Samples Measured by Off-Line 1 H NMR of the Bulk Sample and LCCC-NMR (SEC = Nominal Molar Masses Given by the Supplier) Table 2. 2 Chemical Composition and Microstructures of Blends of 1,4-PI Sample and 3,4-PI Samples Measured by LCCC-NMR and Compared to Simulated LCCC-NMR Elution a Determined from LCCC-NMR experiments. 3 Molar Masses Determined by SEC, SEC-NMR, and LCCC-NMR n (kg/mol) M w (kg/mol) M p (kg/mol) M n (kg/mol) M w (kg/mol) M p (kg/mol) M n (kg/mol) M w (kg/mol) M p (kg/mol) dx.doi.org/10.1021/ma102750s |Macromolecules 2011, 44, 1311-1318."
